table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Virginia: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Abingdon town, Virginia","8,191","8,225","8,226","8,182","8,174","8,152","8,115","8,050","8,031","7,973","7,938","7,867"
"Accomac town, Virginia",519,509,502,508,508,497,496,501,494,495,488,485
"Alberta town, Virginia",298,298,297,293,291,288,284,282,281,277,272,270
"Alexandria city, Virginia","139,966","139,998","140,729","144,219","147,291","149,637","151,375","153,654","156,698","159,215","159,069","159,428"
"Altavista town, Virginia","3,450","3,452","3,456","3,444","3,446","3,449","3,458","3,458","3,458","3,446","3,428","3,406"
"Amherst town, Virginia","2,231","2,231","2,232","2,213","2,222","2,206","2,197","2,202","2,195","2,197","2,187","2,180"
"Appalachia town, Virginia","1,754","1,753","1,752","1,745","1,727","1,707","1,664","1,641","1,617","1,588","1,558","1,533"
"Appomattox town, Virginia","1,733","1,716","1,723","1,722","1,734","1,742","1,744","1,758","1,760","1,778","1,794","1,794"
"Ashland town, Virginia","7,225","7,256","7,261","7,187","7,313","7,334","7,371","7,553","7,700","7,787","7,823","7,875"
"Bedford town, Virginia","6,222","6,553","6,566","6,506","6,446","6,426","6,488","6,528","6,546","6,568","6,597","6,597"
"Belle Haven town, Virginia",532,522,521,523,522,516,515,514,513,510,507,502
"Berryville town, Virginia","4,185","4,182","4,179","4,222","4,237","4,248","4,263","4,263","4,277","4,324","4,338","4,371"
"Big Stone Gap town, Virginia","5,614","5,629","5,623","5,619","5,579","5,536","5,442","5,385","5,325","5,258","5,192","5,132"
"Blacksburg town, Virginia","42,620","42,525","42,581","42,621","42,640","43,481","43,692","43,808","44,555","44,386","44,482","44,233"
"Blackstone town, Virginia","3,621","3,620","3,611","3,606","3,559","3,522","3,517","3,449","3,399","3,387","3,374","3,329"
"Bloxom town, Virginia",387,381,381,380,380,378,377,376,375,371,369,366
"Bluefield town, Virginia","5,444","5,405","5,399","5,370","5,308","5,288","5,214","5,187","4,866","4,730","4,897","4,837"
"Boones Mill town, Virginia",239,236,236,236,235,234,234,233,233,234,234,233
"Bowling Green town, Virginia","1,111","1,109","1,112","1,111","1,121","1,129","1,147","1,150","1,156","1,166","1,177","1,175"
"Boyce town, Virginia",589,600,599,608,610,611,612,613,615,620,624,627
"Boydton town, Virginia",431,433,433,429,426,420,419,418,416,414,412,411
"Boykins town, Virginia",564,564,563,559,555,550,545,541,539,534,530,526
"Branchville town, Virginia",114,125,125,124,122,121,120,119,119,119,116,115
"Bridgewater town, Virginia","5,644","5,636","5,640","5,739","5,735","5,819","5,898","5,840","5,985","6,072","6,103","6,145"
"Bristol city, Virginia","17,835","17,738","17,766","17,717","17,692","17,386","17,191","17,146","17,088","16,880","16,685","16,762"
"Broadway town, Virginia","3,691","3,696","3,699","3,722","3,738","3,749","3,770","3,803","3,848","3,896","3,943","3,978"
"Brodnax town, Virginia",298,294,294,289,287,285,281,280,277,275,271,268
"Brookneal town, Virginia","1,112","1,112","1,113","1,109","1,111","1,112","1,113","1,113","1,114","1,110","1,104","1,098"
"Buchanan town, Virginia","1,178","1,173","1,174","1,167","1,171","1,164","1,166","1,176","1,169","1,172","1,173","1,174"
"Buena Vista city, Virginia","6,650","6,607","6,611","6,711","6,747","6,652","6,549","6,529","6,435","6,482","6,494","6,478"
"Burkeville town, Virginia",432,433,432,432,424,421,422,413,408,407,405,399
"Cape Charles town, Virginia","1,009","1,009","1,011","1,016",993,977,980,"1,005","1,022","1,012","1,006","1,019"
"Capron town, Virginia",166,164,164,162,160,161,159,156,156,154,152,151
"Cedar Bluff town, Virginia","1,137","1,130","1,129","1,116","1,104","1,096","1,079","1,064","1,049","1,029","1,014","1,002"
"Charlotte Court House town, Virginia",543,543,541,538,534,530,525,526,523,520,515,512
"Charlottesville city, Virginia","43,475","43,425","43,461","43,761","44,580","45,012","45,518","46,301","46,943","47,463","47,506","47,266"
"Chase City town, Virginia","2,351","2,341","2,342","2,326","2,311","2,282","2,270","2,256","2,244","2,232","2,221","2,215"
"Chatham town, Virginia","1,269","1,269","1,476","1,471","1,486","1,481","1,465","1,466","1,459","1,441","1,439","1,427"
"Cheriton town, Virginia",487,485,486,487,480,473,471,469,467,460,453,448
"Chesapeake city, Virginia","222,209","222,311","223,556","225,361","228,091","230,327","233,360","235,111","237,464","240,143","242,359","244,835"
"Chilhowie town, Virginia","1,781","1,816","1,815","1,808","1,800","1,792","1,782","1,769","1,755","1,737","1,720","1,702"
"Chincoteague town, Virginia","2,941","2,941","2,937","2,937","2,942","2,914","2,910","2,909","2,912","2,899","2,893","2,875"
"Christiansburg town, Virginia","21,041","20,965","21,003","21,144","21,470","21,570","21,739","21,814","21,938","22,158","22,396","22,473"
"Claremont town, Virginia",378,372,372,364,360,358,356,350,344,341,340,336
"Clarksville town, Virginia","1,139","1,233","1,232","1,225","1,218","1,203","1,196","1,188","1,180","1,175","1,169","1,166"
"Cleveland town, Virginia",202,193,193,191,189,188,187,185,180,178,176,175
"Clifton town, Virginia",282,282,283,287,292,294,292,295,295,295,294,293
"Clifton Forge town, Virginia","3,884","3,886","3,869","3,856","3,820","3,790","3,705","3,655","3,637","3,570","3,528","3,494"
"Clinchco town, Virginia",337,334,333,331,328,323,318,315,308,304,299,294
"Clinchport town, Virginia",70,70,70,70,69,68,68,67,66,65,65,64
"Clintwood town, Virginia","1,414","1,449","1,446","1,436","1,422","1,403","1,386","1,364","1,342","1,321","1,302","1,284"
"Coeburn town, Virginia","2,139","2,040","2,044","2,040","2,023","2,015","1,979","1,956","1,930","1,901","1,870","1,845"
"Colonial Beach town, Virginia","3,542","3,540","3,542","3,566","3,535","3,531","3,511","3,538","3,552","3,567","3,584","3,619"
"Colonial Heights city, Virginia","17,411","17,410","17,339","17,284","17,383","17,487","17,442","17,444","17,398","17,424","17,504","17,370"
"Courtland town, Virginia","1,284","1,281","1,280","1,274","1,265","1,255","1,246","1,241","1,237","1,230","1,221","1,215"
"Covington city, Virginia","5,961","5,951","5,940","5,914","5,842","5,827","5,772","5,663","5,637","5,576","5,578","5,538"
"Craigsville town, Virginia",923,918,916,917,916,921,920,922,925,928,931,931
"Crewe town, Virginia","2,326","2,326","2,320","2,316","2,283","2,257","2,253","2,208","2,174","2,168","2,159","2,129"
"Culpeper town, Virginia","16,379","16,658","16,706","16,887","17,099","17,377","17,646","17,803","18,072","18,386","18,582","18,873"
"Damascus town, Virginia",814,805,805,802,801,798,796,789,788,783,781,775
"Danville city, Virginia","43,055","43,071","42,924","42,645","42,705","42,623","42,263","41,947","41,665","41,044","40,649","40,044"
"Dayton town, Virginia","1,530","1,541","1,543","1,548","1,552","1,556","1,562","1,574","1,588","1,608","1,623","1,637"
"Dendron town, Virginia",272,273,271,267,263,261,260,257,253,250,248,247
"Dillwyn town, Virginia",447,444,442,445,443,445,442,440,441,441,438,442
"Drakes Branch town, Virginia",530,533,531,529,525,519,514,514,512,510,504,501
"Dublin town, Virginia","2,534","2,538","2,530","2,563","2,650","2,696","2,681","2,656","2,673","2,651","2,588","2,584"
"Duffield town, Virginia",91,90,90,89,89,88,87,86,85,84,83,83
"Dumfries town, Virginia","4,961","4,972","5,006","5,090","5,166","5,208","5,208","5,253","5,253","5,262","5,245","5,922"
"Dungannon town, Virginia",332,322,322,319,318,315,313,307,305,302,299,298
"Eastville town, Virginia",305,360,360,361,354,351,350,351,349,344,341,339
"Edinburg town, Virginia","1,041","1,037","1,038","1,042","1,048","1,048","1,052","1,055","1,054","1,062","1,068","1,070"
"Elkton town, Virginia","2,726","2,729","2,732","2,744","2,750","2,756","2,769","2,790","2,817","2,850","2,881","2,903"
"Emporia city, Virginia","5,927","5,925","5,921","5,841","5,813","5,693","5,597","5,558","5,478","5,467","5,363","5,346"
"Exmore town, Virginia","1,460","1,462","1,464","1,469","1,445","1,423","1,424","1,423","1,413","1,395","1,380","1,372"
"Fairfax city, Virginia","22,565","22,554","22,614","22,460","22,894","23,230","23,310","23,230","23,246","23,435","23,725","24,019"
"Falls Church city, Virginia","12,332","12,244","12,399","12,660","13,087","13,360","13,416","13,728","13,582","14,245","14,467","14,617"
"Farmville town, Virginia","8,216","8,218","8,222","8,171","8,138","8,028","8,182","8,133","8,077","7,836","7,871","7,846"
"Fincastle town, Virginia",353,355,355,343,341,341,343,347,343,340,340,341
"Floyd town, Virginia",425,428,431,430,431,431,432,432,436,438,437,436
"Franklin city, Virginia","8,582","8,578","8,579","8,445","8,482","8,536","8,392","8,331","8,201","8,145","8,089","7,967"
